SIMPLE,BITPIX,NAXIS,EXTEND,TEFF,LOGG,RADIUS,MASS,LSTAR,ALPHA,K,DELTA,QBAR,ZHE,HE,SI,MDOT,VINF,DMOM,LOGQ,HOPF_1,HOPF_2,HOPF_3,VROT,OMEGA,VESC,SIGMA_E,MUE,GAMMA,C_SOUND,U_CRIT,R_CRIT,W_CRIT,V_CRIT,DW_CRIT,RHO_CRIT,Z_CRIT,Y_CRIT,V_EIGEN,RHO_WIND,VMICRO,MDOTE-6,LOGMDOT,LOGLSTAR
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.3,0.34,90.29,2.0,0.1,7.66,5.9634775e-07,380.62374,5051999999999989600877543424.000000,-11.74,0.75,0.38,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06737,14.84,16.93,341.7,21.36,0.05095,0.7928,361.7,118.4,10.08,1.0,0.59634775,-6.224500414985549,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.3,0.34,90.29,2.0,0.1,7.66,5.9634775e-07,380.62374,5051999999999989600877543424.000000,-11.74,0.75,0.38,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06737,14.84,16.93,341.7,21.36,0.05095,0.7928,361.7,118.4,10.08,5.0,0.59634775,-6.224500414985549,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.3,0.34,90.29,2.0,0.1,7.66,5.9634775e-07,380.62374,5051999999999989600877543424.000000,-11.74,0.75,0.38,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06737,14.84,16.93,341.7,21.36,0.05095,0.7928,361.7,118.4,10.08,10.0,0.59634775,-6.224500414985549,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.3,0.34,90.29,2.0,0.1,7.66,5.9634775e-07,380.62374,5051999999999989600877543424.000000,-11.74,0.75,0.38,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06737,14.84,16.93,341.7,21.36,0.05095,0.7928,361.7,118.4,10.08,15.0,0.59634775,-6.224500414985549,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.3,0.34,90.29,2.0,0.1,7.66,5.9634775e-07,380.62374,5051999999999989600877543424.000000,-11.74,0.75,0.38,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06737,14.84,16.93,341.7,21.36,0.05095,0.7928,361.7,118.4,10.08,20.0,0.59634775,-6.224500414985549,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.3,0.34,90.29,2.0,0.1,7.66,5.9634775e-07,380.62374,5051999999999989600877543424.000000,-11.74,0.75,0.38,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06737,14.84,16.93,341.7,21.36,0.05095,0.7928,361.7,118.4,10.08,25.0,0.59634775,-6.224500414985549,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.51,0.1,0.35,42.13,2.0,0.1,7.21,6.0091537e-09,427.02352,57109999999999997823156224.000000,-13.81,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06238,16.03,19.22,387.9,23.68,0.000388,0.8117,455.1,87.67,0.09051,1.0,0.0060091536999999995,-8.22118668761462,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.51,0.1,0.35,42.13,2.0,0.1,7.21,6.0091537e-09,427.02352,57109999999999997823156224.000000,-13.81,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06238,16.03,19.22,387.9,23.68,0.000388,0.8117,455.1,87.67,0.09051,5.0,0.0060091536999999995,-8.22118668761462,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.51,0.1,0.35,42.13,2.0,0.1,7.21,6.0091537e-09,427.02352,57109999999999997823156224.000000,-13.81,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06238,16.03,19.22,387.9,23.68,0.000388,0.8117,455.1,87.67,0.09051,10.0,0.0060091536999999995,-8.22118668761462,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.51,0.1,0.35,42.13,2.0,0.1,7.21,6.0091537e-09,427.02352,57109999999999997823156224.000000,-13.81,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06238,16.03,19.22,387.9,23.68,0.000388,0.8117,455.1,87.67,0.09051,15.0,0.0060091536999999995,-8.22118668761462,5.055378331375
